,日期,八大行庫買賣超金額,台指期
0,2021/04/09,1646389.285,16841
1,2021/04/08,-220357.075,16930
2,2021/04/07,-2630580.049,16768
3,2021/04/06,-3140151.168,16731
4,2021/04/01,-2097478.237,16551
5,2021/03/31,-244596.298,16422
6,2021/03/30,-1645344.606,16519
7,2021/03/29,-2715226.301,16411
8,2021/03/26,-3907532.799,16288
9,2021/03/25,2805370.326,16032
10,2021/03/24,2597249.379,15983
11,2021/03/23,284121.377,16120
12,2021/03/22,554870.582,16140
13,2021/03/19,5140857.103,16012
14,2021/03/18,-2384388.042,16239
15,2021/03/17,3486540.563,16176
16,2021/03/16,-909068.571,16305
17,2021/03/15,450431.328,16200
18,2021/03/12,-740398.87,16222
19,2021/03/11,-3985624.865,16174
20,2021/03/10,544069.931,15883
21,2021/03/09,-124125.466,15822
22,2021/03/08,3723969.04,15816
23,2021/03/05,5418640.142,15855
24,2021/03/04,9154573.254,15925
25,2021/03/03,-2390802.47,16181
26,2021/03/02,2540521.718,15907
27,2021/02/26,16244902.66,15935
28,2021/02/25,-3569842.489,16388
29,2021/02/24,160894.531,16182
30,2021/02/23,-2554.005,16437
31,2021/02/22,1740469.181,16385
32,2021/02/19,2375072.473,16314
33,2021/02/18,754902.011,16380
34,2021/02/17,-4901730.484,16326
35,2021/02/05,1520621.976,15804
36,2021/02/04,-137662.453,15701
37,2021/02/03,723135.225,15772
38,2021/02/02,-1905980.362,15755
39,2021/02/01,-3995941.744,15360
40,2021/01/29,6393616.449,15075
41,2021/01/28,864346.802,15383
42,2021/01/27,-243775.413,15660
43,2021/01/26,5816542.297,15626
44,2021/01/25,632701.04,15912
45,2021/01/22,5546970.204,15984
46,2021/01/21,660675.082,16129
47,2021/01/20,-4949.321,15766
48,2021/01/19,-2032928.212,15888
49,2021/01/18,-917617.237,15606
50,2021/01/15,6530305.617,15634
51,2021/01/14,-30079.797,15729
52,2021/01/13,-1183702.853,15764
53,2021/01/12,4066632.184,15493
54,2021/01/11,-445020.325,15534
55,2021/01/08,164926.677,15454
56,2021/01/07,-2534363.498,15230
57,2021/01/06,3439859.284,14911
58,2021/01/05,537216.329,14977
59,2021/01/04,-4756246.486,14874
60,2020/12/31,70471.171,14678
61,2020/12/30,-5913434.552,14638
62,2020/12/29,287524.689,14459
63,2020/12/28,-3907585.745,14437
64,2020/12/25,-1830827.402,14305
65,2020/12/24,159270.865,14242
66,2020/12/23,-413590.876,14113
67,2020/12/22,1599702.112,14046
68,2020/12/21,-2708015.498,14312
69,2020/12/18,579259.437,14137
70,2020/12/17,350373.495,14186
71,2020/12/16,-3824786.149,14323
72,2020/12/15,59717.734,14085
73,2020/12/14,1611556.98,14200
74,2020/12/11,4232770.835,14236
75,2020/12/10,-18807.592,14241
76,2020/12/09,-269216.687,14397
77,2020/12/08,-1425746.379,14342
78,2020/12/07,1719544.621,14225
79,2020/12/04,-3188781.092,14138
80,2020/12/03,1512585.917,13986
81,2020/12/02,-273191.406,13956
82,2020/12/01,-1076790.681,13877
83,2020/11/30,5287803.627,13722
84,2020/11/27,1014906.3,13878
85,2020/11/26,-1174669.317,13841
86,2020/11/25,2464214.117,13709
87,2020/11/24,272714.43,13804
88,2020/11/23,-2688534.614,13875
89,2020/11/20,1268781.644,13736
